Word_Count	AbstractConcept	EC	Term
2	foreignConcepts	parisAccord	Paris agreement
4	foreignConcepts	parisAccord	Paris climate change commitments
2	foreignConcepts	parisAccord	Paris deal
2	foreignConcepts	parisAccord	Paris pledges
3	business	smallBusinessConfidence	Small business confidence
4	business	smallBusinessConfidence	tremendous dark cloud lifting
1	business	smallBusinessConfidence	exuberance
1	business	smallBusinessConfidence	bull
1	business	smallBusinessConfidence	confidence
1	business	smallBusinessConfidence	euphoria
4	business	smallBusinessConfidence	gut just feels better
1	business	smallBusinessConfidence	confident
1	business	bank	bank
1	business	bank	banks
1	governmentActions	reform	reform
1	party	conservative	conservative
1	party	conservative	conservatives
1	party	party	party
1	party	party	parties
2	nationalSecurity	domesticSecurity	domestic security
1	nationalSecurity	domesticSecurity	FBI
1	nationalSecurity	domesticSecurity	federal bureau of investigation
2	nationalSecurity	domesticSecurity	Defense Department
4	nationalSecurity	domesticSecurity	Department of Homeland Security
1	government	EPA	EPA
3	government	EPA	Clean Power Plan
3	government	EPA	Environmental Protection Agency
2	government	EPA	environmental policy
2	russia	vladimirPutin	vladimir putin
2	russia	vladimirPutin	Mr Putin
1	russia	vladimirPutin	Putin
2	govElectedRole	houseRepublican	house Republican
1	govElectedRole	houseRepublican	GOP
2	govElectedRole	houseRepublican	House GOP
2	govElectedRole	houseRepublican	house Republicans
3	economy	economy	united states economy
2	economy	economy	national economy
1	economy	economy	economy
1	economy	economy	economies
1	None	leader	leader
1	None	leader	leaders
3	mexico	border	US Mexico Border
1	mexico	border	border
1	mexico	border	borders
1	energy	environment	environmental
1	energy	environment	environment
1	governmentActions	senateRule	senate
2	governmentActions	senateRule	senate rule
1	govAppointedRole	washington	washington
1	govAppointedRole	washington	DC
1	russia	russian	russian
1	russia	russian	Russians
1	economy	work	work
1	economy	work	works
4	healthcare	AmericanHealthCareAct	American Health Care Act
1	healthcare	AmericanHealthCareAct	AHCA
3	healthcare	AmericanHealthCareAct	Affordable Care Act
2	healthcare	AmericanHealthCareAct	Obama Care
3	healthcare	AmericanHealthCareAct	Health Care Initiative
1	healthcare	AmericanHealthCareAct	obamacare
1	govElectedRole	congress	congress
2	govElectedRole	congress	support Congress
1	party	democrat	democrat
1	party	democrat	Democrats
2	party	democrat	Democrats intent
1	energy	power	power
1	energy	power	powers
1	business	business	business
1	business	business	businesses
1	mexico	mexico	mexico
2	mexico	mexico	country Mexico
2	mexico	mexico	force Mexico
1	election	election	election
1	election	election	elections
2	govAppointedRole	supremeCourt	supreme court
1	govAppointedRole	secretary	secretary
2	govAppointedRole	whiteHouse	white house
2	govAppointedRole	whiteHouse	Trump Administration
2	healthcare	Healthcare	Healthcare Initiative
2	healthcare	healthcare	health care
1	healthcare	healthcare	healthcare
1	election	campaign	campaign
2	election	campaign	campaign and
1	governmentActions	bill	bill
2	governmentActions	bill	bill funding
1	governmentActions	bill	bills
1	mexico	cost	cost
1	mexico	cost	costs
1	mexico	cost	expenses
1	mexico	cost	expense
1	mexico	cost	price
2	mexico	cost	price tag
1	economy	money	money
2	economy	money	block money
1	economy	money	funding
2	economy	money	funding package
1	economy	money	funds
2	economy	money	spread money
1	mexico	wall	wall
1	mexico	wall	fence
2	mexico	wall	border wall
1	mexico	wall	barrier
2	mexico	wall	great wall
1	mexico	wall	walls
1	energy	climateChange	climate
2	energy	climateChange	climate change
3	energy	climateChange	climate change has
2	energy	climateChange	global warming
2	northKorea	northKorea	north korea
1	energy	energy	energy
2	govElectedRole	presidentElect	president elect
3	govElectedRole	presidentElect	President elect plans
3	govElectedRole	presidentElect	Republican president elect
4	govElectedRole	presidentElect	soon to be president
1	economy	jobs	jobs
1	economy	jobs	job
1	russia	russia	russia
2	russia	russia	evidence Russia
2	russia	russia	Russia was
1	govAppointedRole	administration	administration
3	govAppointedRole	administration	administration Tuesday night
1	government	government	government
2	government	government	government should
1	government	government	governments
1	mexico	construction	construction
1	party	republican	republican
2	party	republican	fellow Republicans
1	party	republican	Republicans
1	governmentActions	regulation	regulation
1	governmentActions	regulation	policy
1	governmentActions	regulation	policies
2	governmentActions	regulation	Finalized regulations
1	governmentActions	regulation	regulations
1	governmentActions	vote	vote
1	governmentActions	vote	votes
1	people	barackObama	obama
2	people	barackObama	obama era
2	people	barackObama	barack Obama
3	people	barackObama	President Barack Obama
2	people	barackObama	President Obama
2	people	barackObama	President Trump
2	governmentActions	executiveOrder	executive order
1	governmentActions	executiveOrder	order
2	governmentActions	executiveOrder	executive orders
2	government	unitedStates	United States
2	government	unitedStates	Our Country
1	government	unitedStates	America
2	government	unitedStates	America Great
3	government	unitedStates	United States exits
1	govElectedRole	president	president
2	govElectedRole	president	donald trump
1	govElectedRole	president	trump
1	govElectedRole	president	Pres
1	govElectedRole	president	presidents
2	govElectedRole	president	presidents face
