word_count	EC_Count	Term_Count	Ontology_Strength	EC_Strength	ontology	EC	Term
2	6	1	0.166666667	1	foreignAreas	tradingPartners	trading partners
2	6	5	0.166666667	0.2	foreignAreas	Travelban	travel ban
1	6	5	0.166666667	0.2	foreignAreas	travelBan	robart
1	6	5	0.166666667	0.2	foreignAreas	travelBan	judge
1	6	5	0.166666667	0.2	foreignAreas	travelBan	ban
2	6	1	0.166666667	1	foreignAreas	foreigner	foreign nationals
2	14	3	0.071428571	0.333333333	foreignConcepts	emergencyStay	emergency stay
2	14	3	0.071428571	0.333333333	foreignConcepts	emergencyStay	nationwide stay
3	14	3	0.071428571	0.333333333	foreignConcepts	emergencyStay	temporary restraining order
2	14	1	0.071428571	1	foreignConcepts	foreignAid	foreign aid
2	14	1	0.071428571	1	foreignConcepts	foreignCountry	foreign country
1	14	1	0.071428571	1	foreignConcepts	freeTrade	NAFTA
1	14	1	0.071428571	1	foreignConcepts	immigration	immigration
2	14	5	0.071428571	0.2	foreignConcepts	parisAccord	paris accord
2	14	5	0.071428571	0.2	foreignConcepts	parisAccord	paris agreement
3	14	5	0.071428571	0.2	foreignConcepts	parisAccord	paris climate-change commitments
2	14	5	0.071428571	0.2	foreignConcepts	parisAccord	paris deal
2	14	5	0.071428571	0.2	foreignConcepts	parisAccord	paris pledges
1	14	2	0.071428571	0.5	foreignConcepts	restriction	restriction
1	14	2	0.071428571	0.5	foreignConcepts	restriction	restrictions
1	14	2	0.071428571	0.5	foreignConcepts	tariff	tariff
1	14	2	0.071428571	0.5	foreignConcepts	tariff	tariffs
1	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	trade
2	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	trade deficit
3	14	4	0.071428571	0.25	foreignConcepts	transPacificPartnership	trans pacific partnership
1	14	4	0.071428571	0.25	foreignConcepts	transPacificPartnership	tpp
2	14	4	0.071428571	0.25	foreignConcepts	transPacificPartnership	trans-pacific partnership
3	14	4	0.071428571	0.25	foreignConcepts	transPacificPartnership	trans-pacific partnership negotiations
1	14	5	0.071428571	0.2	foreignConcepts	Travelban	travel
1	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	deficit
1	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	nations
1	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	deficits
1	14	6	0.071428571	0.166666667	foreignConcepts	tradeDeficit	bilateral
1	14	5	0.071428571	0.2	foreignConcepts	smallBusinessConfidence	toledo
1	14	1	0.071428571	1	foreignConcepts	entryIntoUS	entry
1	4	1	0.25	1	foreignCountry	China	china
1	4	1	0.25	1	foreignCountry	Japan	japan
1	4	1	0.25	1	foreignCountry	korea	korea
1	3	2	0.333333333	0.5	foreignEngagements	war	war
1	3	2	0.333333333	0.5	foreignEngagements	war	warfare
1	3	1	0.333333333	1	foreignEngagements	nuclearTesting	nuclear
1	3	1	0.333333333	1	foreignEngagements	militaryAction	military
1	13	1	0.076923077	1	govAppointedRole	administration	administration
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	gorsuch
1	13	1	0.076923077	1	govAppointedRole	Navarro	navarro
1	13	1	0.076923077	1	govAppointedRole	Ryan	ryan
1	13	1	0.076923077	1	govAppointedRole	secretary	secretary
2	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	supreme court
1	13	2	0.076923077	0.5	govAppointedRole	washington	washington
1	13	2	0.076923077	0.5	govAppointedRole	washington	dc
2	13	2	0.076923077	0.5	govAppointedRole	whiteHouse	white house
2	13	2	0.076923077	0.5	govAppointedRole	whiteHouse	trump administration
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	appointee
3	13	1	0.076923077	1	govAppointedRole	DepartmentofHomelandSecurity	secretary homeland security
4	13	3	0.076923077	0.333333333	govAppointedRole	intelligenceAgency	director of national intelligence
2	13	1	0.076923077	1	govAppointedRole	attorneyGeneral	attorney general
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	court
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	supreme
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	scalia
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	kennedy
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	justice
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	list
1	13	10	0.076923077	0.1	govAppointedRole	supremeCourt	bloc
2	8	6	0.125	0.166666667	govElectedRole	president	president trump
1	8	1	0.125	1	govElectedRole	congress	congress
2	8	3	0.125	0.333333333	govElectedRole	HouseofRepresentatives	the house
2	8	3	0.125	0.333333333	govElectedRole	HouseofRepresentatives	u.s. house
1	8	5	0.125	0.2	govElectedRole	houseRepublican	gop
2	8	5	0.125	0.2	govElectedRole	houseRepublican	house gop
2	8	5	0.125	0.2	govElectedRole	houseRepublican	house republicans
1	8	6	0.125	0.166666667	govElectedRole	president	presidency
1	8	6	0.125	0.166666667	govElectedRole	president	president
2	8	6	0.125	0.166666667	govElectedRole	president	donald trump
1	8	6	0.125	0.166666667	govElectedRole	president	trump
1	8	6	0.125	0.166666667	govElectedRole	president	presidents
2	8	2	0.125	0.5	govElectedRole	republicanLawmakers	gop lawmakers
2	8	2	0.125	0.5	govElectedRole	republicanLawmakers	republican lawmakers
2	8	1	0.125	1	govElectedRole	republicanLeaders	republican leaders
1	8	3	0.125	0.333333333	govElectedRole	HouseofRepresentatives	boehner
1	5	4	0.2	0.25	government	EPA	epa
3	5	4	0.2	0.25	government	EPA	clean power plan
3	5	4	0.2	0.25	government	EPA	environmental protection agency
2	5	4	0.2	0.25	government	EPA	environmental policy
1	5	2	0.2	0.5	government	FCC	fcc
3	5	2	0.2	0.5	government	FCC	federal communications commission
1	5	2	0.2	0.5	government	government	government
1	5	2	0.2	0.5	government	government	governments
2	5	3	0.2	0.333333333	government	intelligenceAgency	intelligence agency
2	5	3	0.2	0.333333333	government	intelligenceAgency	intelligence agencies
2	5	4	0.2	0.25	government	unitedStates	united states
2	5	4	0.2	0.25	government	unitedStates	our country
1	5	4	0.2	0.25	government	unitedStates	america
4	5	4	0.2	0.25	government	unitedStates	make america great again
1	12	3	0.083333333	0.333333333	governmentActions	bill	bill
1	12	3	0.083333333	0.333333333	governmentActions	bill	bills
2	12	1	0.083333333	1	governmentActions	confirmationHearings	confirmation hearings
1	12	1	0.083333333	1	governmentActions	democracy	democracy
2	12	3	0.083333333	0.333333333	governmentActions	executiveOrder	executive order
1	12	3	0.083333333	0.333333333	governmentActions	executiveOrder	order
2	12	3	0.083333333	0.333333333	governmentActions	executiveOrder	executive orders
1	12	1	0.083333333	1	governmentActions	filibuster	filibuster
1	12	1	0.083333333	1	governmentActions	legislation	legislation
1	12	1	0.083333333	1	governmentActions	reform	reform
1	12	6	0.083333333	0.166666667	governmentActions	regulation	regulation
1	12	6	0.083333333	0.166666667	governmentActions	regulation	policy
1	12	6	0.083333333	0.166666667	governmentActions	regulation	policies
2	12	6	0.083333333	0.166666667	governmentActions	regulation	finalized regulations
1	12	6	0.083333333	0.166666667	governmentActions	regulation	regulations
1	12	3	0.083333333	0.333333333	governmentActions	senateRule	senate
2	12	3	0.083333333	0.333333333	governmentActions	senateRule	senate rule
2	12	3	0.083333333	0.333333333	governmentActions	senateRule	senate rules
1	12	1	0.083333333	1	governmentActions	agenda	agenda
1	12	6	0.083333333	0.166666667	governmentActions	regulation	rules
1	12	3	0.083333333	0.333333333	governmentActions	bill	bills
4	4	5	0.25	0.2	healthcare	AmericanHealthCareAct	american health care act
1	4	5	0.25	0.2	healthcare	AmericanHealthCareAct	ahca
3	4	5	0.25	0.2	healthcare	AmericanHealthCareAct	affordable care act
2	4	5	0.25	0.2	healthcare	AmericanHealthCareAct	obama care
1	4	5	0.25	0.2	healthcare	AmericanHealthCareAct	obamacare
1	4	4	0.25	0.25	healthcare	Healthcare	healthcare
2	4	4	0.25	0.25	healthcare	healthcare	health care
1	4	4	0.25	0.25	healthcare	healthcare	healthcare
1	4	2	0.25	0.5	healthcare	repealAndReplace	repeal
3	4	2	0.25	0.5	healthcare	repealAndReplace	repeal and replace
1	4	4	0.25	0.25	healthcare	Healthcare	care
2	2	4	0.5	0.25	hillaryClinton	hillaryClinton	hillary clinton
3	2	4	0.5	0.25	hillaryClinton	hillaryClinton	candidate hillary clinton
1	2	4	0.5	0.25	hillaryClinton	hillaryClinton	clinton-concept
3	2	4	0.5	0.25	hillaryClinton	hillaryClinton	nominee hillary clinton
1	2	4	0.5	0.25	hillaryClinton	email	email
1	2	4	0.5	0.25	hillaryClinton	email	emails
1	2	4	0.5	0.25	hillaryClinton	email	server
2	2	4	0.5	0.25	hillaryClinton	email	thumb drive
1	11	2	0.090909091	0.5	internetPrivacy	hack	hack
1	11	2	0.090909091	0.5	internetPrivacy	hack	hacks
2	11	9	0.090909091	0.111111111	internetPrivacy	InternetHistory	internet history
2	11	9	0.090909091	0.111111111	internetPrivacy	InternetHistory	search history
2	11	9	0.090909091	0.111111111	internetPrivacy	InternetHistory	search histories
3	11	9	0.090909091	0.111111111	internetPrivacy	InternetHistory	web browsing history
1	11	6	0.090909091	0.166666667	internetPrivacy	InternetUser	user
1	11	6	0.090909091	0.166666667	internetPrivacy	InternetUser	consumer
1	11	6	0.090909091	0.166666667	internetPrivacy	InternetUser	customer
2	11	6	0.090909091	0.166666667	internetPrivacy	InternetUser	internet user
2	11	6	0.090909091	0.166666667	internetPrivacy	InternetUser	internet users
1	11	4	0.090909091	0.25	internetPrivacy	ISP	isp
1	11	4	0.090909091	0.25	internetPrivacy	ISP	provider
3	11	4	0.090909091	0.25	internetPrivacy	ISP	internet service provider
1	11	4	0.090909091	0.25	internetPrivacy	ISP	comcast
2	11	2	0.090909091	0.5	internetPrivacy	SensitiveInformation	sensitive information
1	11	2	0.090909091	0.5	internetPrivacy	VPN	vpn
3	11	2	0.090909091	0.5	internetPrivacy	VPN	virtual private network
1	11	9	0.090909091	0.111111111	internetPrivacy	internetHistory	internet
1	11	9	0.090909091	0.111111111	internetPrivacy	internetHistory	isps
1	11	2	0.090909091	0.5	internetPrivacy	SensitiveInformation	information
1	11	9	0.090909091	0.111111111	internetPrivacy	internetHistory	privacy
1	11	6	0.090909091	0.166666667	internetPrivacy	internetUser	users
1	11	9	0.090909091	0.111111111	internetPrivacy	internetHistory	data
1	11	9	0.090909091	0.111111111	internetPrivacy	InternetHistory	history
1	4	1	0.25	1	media	media	media
1	4	4	0.25	0.25	media	tweet	tweet
1	4	4	0.25	0.25	media	tweet	tweeted
2	4	4	0.25	0.25	media	tweet	twitter post
1	4	1	0.25	1	media	twitter	twitter
1	4	4	0.25	0.25	media	tweet	tweets
3	5	3	0.2	0.333333333	mexico	border	us mexico border
1	5	3	0.2	0.333333333	mexico	border	border
1	5	3	0.2	0.333333333	mexico	border	borders
1	5	1	0.2	1	mexico	construction	construction
1	5	5	0.2	0.2	mexico	cost	cost
1	5	5	0.2	0.2	mexico	cost	costs
1	5	5	0.2	0.2	mexico	cost	expenses
1	5	5	0.2	0.2	mexico	cost	price
2	5	5	0.2	0.2	mexico	cost	price tag
1	5	2	0.2	0.5	mexico	mexico	mexico
2	5	2	0.2	0.5	mexico	mexico	force mexico
1	5	6	0.2	0.166666667	mexico	wall	wall
1	5	6	0.2	0.166666667	mexico	wall	fence
2	5	6	0.2	0.166666667	mexico	wall	border wall
1	5	6	0.2	0.166666667	mexico	wall	barrier
2	5	6	0.2	0.166666667	mexico	wall	great wall
1	5	6	0.2	0.166666667	mexico	wall	walls
1	5	5	0.2	0.2	nationalSecurity	domesticSecurity	dhs
4	5	5	0.2	0.2	nationalSecurity	domesticSecurity	department of homeland security
1	5	5	0.2	0.2	nationalSecurity	domesticSecurity	fbi
2	5	5	0.2	0.2	nationalSecurity	domesticSecurity	defense department
1	5	2	0.2	0.5	nationalSecurity	Missile	missile
1	5	2	0.2	0.5	nationalSecurity	missile	missiles
1	5	3	0.2	0.333333333	nationalSecurity	publicSafety	threats
1	5	3	0.2	0.333333333	nationalSecurity	publicSafety	threat
2	5	3	0.2	0.333333333	nationalSecurity	publicSafety	public safety
1	5	1	0.2	1	nationalSecurity	terrorist	terrorists
2	4	1	0.25	1	foreignCountry	northKorea	north korea
1	5	5	0.2	0.2	party	houseRepublican	conservative
1	5	5	0.2	0.2	party	houseRepublican	conservatives
1	5	5	0.2	0.2	party	democraticParty	democrat
1	5	5	0.2	0.2	party	democraticParty	democrats
2	5	5	0.2	0.2	party	democraticParty	democratic party
1	5	3	0.2	0.333333333	party	republican	republican
2	5	3	0.2	0.333333333	party	republican	fellow republicans
1	5	3	0.2	0.333333333	party	republican	republicans
1	5	1	0.2	1	party	conservative	liberal
1	5	5	0.2	0.2	party	democraticParty	liberals
1	5	5	0.2	0.2	party	democraticParty	liberal
2	8	3	0.125	0.333333333	russia	russia	christopher steele
1	8	3	0.125	0.333333333	russia	russia	MI6
1	8	2	0.125	0.5	russia	kremlinElectionInvolvement	kremlin
2	8	2	0.125	0.5	russia	kremlinElectionInvolvement	kremlin involvement
2	8	1	0.125	1	russia	mikhailKulagin	mikhail kulagin
1	8	1	0.125	1	russia	moscow	moscow
1	8	3	0.125	0.333333333	russia	russia	russia
1	8	2	0.125	0.5	russia	russian	russian
1	8	2	0.125	0.5	russia	russian	russians
1	8	2	0.125	0.5	russia	sanction	sanction
1	8	2	0.125	0.5	russia	sanction	sanctions
2	8	3	0.125	0.333333333	russia	vladimirPutin	vladimir putin
2	8	3	0.125	0.333333333	russia	vladimirPutin	mr putin
1	8	3	0.125	0.333333333	russia	vladimirPutin	putin
