Word_Count	EC	Term
3	transPacificPartnership	trans pacific partnership
1	transPacificPartnership	TPP
2	transPacificPartnership	Trans-Pacific Partnership
3	transPacificPartnership	Trans-Pacific Partnership negotiations
1	travel 	travel
2	Travelban	travel ban
1	tweet	tweet
3	tweet	tweet Friday morning
1	tweet	tweeted
2	tweet	tweeted praise
2	tweet	Twitter post
1	twitter	twitter
3	U.S.Mexicoborder	U.S. Mexico border
1	uncertainty	uncertainty
1	uncertainty	uncertainty
2	unitedStates	United States
2	unitedStates	Our Country
1	unitedStates	America
1	unitedStates	America
2	unitedStates	America Great
2	unitedStates	United States
3	unitedStates	United States exits
2	vladimirPutin	vladimir putin
2	vladimirPutin	Mr Putin
1	vladimirPutin	Putin
1	vote	vote
1	vote	votes
1	voter	voter
2	voter	American voter
2	voter	elections voters
1	voter	voters
1	VPN	VPN
3	VPN	Virtual Private Network
1	wall	wall
1	wall	fence
2	wall	border wall
1	wall	barrier
2	wall	Great Wall
1	wall	walls
1	war	war
1	war	warfare
1	washington	washington
1	washington	DC
2	whiteHouse	white house
2	whiteHouse	Trump Administration
1	work	work
1	work	works
