Word_Count	EC	Term
2	whiteHouse	trump administration
1	work	work
1	work	works
1	email	email
1	email	emails
1	email	server
2	email	thumb drive
1	agenda	agenda
3	agenda	100 day agenda
1	HouseofRepresentatives	boehner
1	tradeDeficit	deficit
1	tradeDeficit	nations
1	tradeDeficit	deficits
1	tradeDeficit	bilateral
1	smallBusinessConfidence	toledo
1	smallBusinessConfidence	business
1	Healthcare	care
1	travelBan	robart
1	travelBan	judge
1	travelBan	ban
1	supremeCourt	appointee
1	tweet	tweets
1	nuclearTesting	nuclear
1	korea	korean
1	korea	korea
1	militaryAction	military
1	domesticSecurity	defense
1	domesticSecurity	forces
1	southKorea	seoul
1	internetHistory	internet
1	internetHistory	isps
1	SensitiveInformation	information
1	internetHistory	privacy
1	internetUser	users
1	internetHistory	data
1	regulation	rules
1	InternetHistory	history
1	budgetCuts	budget
1	republican	gop
2	foreigner	foreign nationals
3	DepartmentofHomelandSecurity	secretary homeland security
4	intelligenceAgency	director of national intelligence
2	attorneyGeneral	attorney general
1	entryIntoUS	entry
1	autoManufacturing	factory
1	autoManufacturing	ford
1	autoManufacturing	car
1	markFields	fields
1	autoManufacturing	auto
1	autoManufacturing	michigan
1	autoManufacturing	compact
1	supremeCourt	court
1	supremeCourt	supreme
1	supremeCourt	scalia
1	conservative	liberal
1	supremeCourt	kennedy
1	supremeCourt	justice
1	supremeCourt	list
1	supremeCourt	bloc
1	democraticParty	liberals
1	democraticParty	liberal
1	northKorea/southKorea	korea
1	InternetHistory/internetUser	internet
